Date,Open,High,Low,Close,Volume,Adj Close,,
12/24/2007,148.820007,149.679993,146.899994,147.300003,88018500,123.810463,,147.300003
12/31/2007,147.100006,147.610001,140.910004,141.309998,167631600,118.775665,,141.309998
1/7/2008,141.809998,142.899994,137.699997,140.149994,293191800,117.800644,,140.149994
1/14/2008,141.160004,141.860001,131.100006,132.059998,307112400,111.00074,,132.059998
1/22/2008,127.209999,136.759995,126,133.039993,369347400,111.824463,,133.039993
1/28/2008,133.259995,139.610001,132.059998,139.580002,254473300,117.321548,,139.580002
2/4/2008,139.210007,139.300003,131.729996,133.070007,236276200,111.849686,,133.070007
2/11/2008,133.100006,137.059998,132.039993,135.139999,199303200,113.589584,,135.139999
2/19/2008,136.720001,137.009995,132.860001,135.619995,192954400,113.993034,,135.619995
2/25/2008,135.539993,139.139999,132.779999,133.820007,198893900,112.480087,,133.820007
3/3/2008,133.139999,134.770004,128.580002,129.710007,263404800,109.025497,,129.710007
3/10/2008,129.839996,133.770004,127.589996,129.610001,328495400,108.941437,,129.610001
3/17/2008,126.57,134.649994,126.07,132.080002,332755000,111.567169,,132.080002
3/24/2008,133.309998,135.809998,131.059998,131.509995,200981600,111.085693,,131.509995
3/31/2008,131.289993,137.960007,131.089996,136.889999,202496300,115.63015,,136.889999
4/7/2008,137.869995,138.570007,133.009995,133.380005,182946900,112.665276,,133.380005
4/14/2008,133.190002,139.559998,132.330002,138.479996,184075200,116.973206,,138.479996
4/21/2008,138.229996,139.889999,136.899994,139.600006,178846300,117.919273,,139.600006
4/28/2008,139.880005,142.369995,138.259995,141.509995,161677000,119.532631,,141.509995
5/5/2008,141.050003,142.199997,138.449997,138.899994,165604200,117.32798,,138.899994
5/12/2008,139.25,142.869995,138.729996,142.660004,172014500,120.504036,,142.660004
5/19/2008,142.809998,144.300003,137.520004,137.639999,189827600,116.263664,,137.639999
5/27/2008,137.800003,140.929993,137.529999,140.350006,160225000,118.552795,,140.350006
6/2/2008,139.830002,140.889999,136.220001,136.289993,264363300,115.123329,,136.289993
6/9/2008,136.860001,137.5,133.520004,136.149994,253981500,115.005066,,136.149994
6/16/2008,135.550003,137.119995,131.220001,131.580002,247382700,111.700752,,131.580002
6/23/2008,132.089996,133.399994,127.040001,127.529999,264289800,108.262627,,127.529999
6/30/2008,127.889999,129.160004,124.989998,126.309998,293720400,107.226944,,126.309998
7/7/2008,126.790001,127.739998,122.489998,123.839996,400546100,105.130112,,123.839996
7/14/2008,125.260002,126.419998,120.019997,125.980003,367877300,106.946808,,125.980003
7/21/2008,126.510002,129.149994,124.849998,125.480003,259846200,106.522346,,125.480003
7/28/2008,125.510002,128.600006,123.419998,126.160004,269501900,107.099617,,126.160004
8/4/2008,126.040001,129.929993,124.760002,129.369995,231299300,109.824638,,129.369995
8/11/2008,129.470001,131.509995,127.669998,130.169998,227915100,110.503777,,130.169998
8/18/2008,130.429993,130.479996,126.339996,129.649994,188154400,110.062332,,129.649994
8/25/2008,128.800003,130.339996,126.580002,128.789993,171763900,109.33226,,128.789993
9/2/2008,130.029999,130.710007,122,124.419998,283464400,105.62249,,124.419998
9/8/2008,128.039993,128.240005,121.599998,126.089996,342707800,107.040184,,126.089996
9/15/2008,121.629997,128,113.800003,124.120003,593329800,105.977722,,124.120003
